"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Dudley-Charlton Reg","03","m",38,15,41,312,6
"Dudley-Charlton Reg","04","e",15,27,53,316,5
"Dudley-Charlton Reg","04","m",22,39,33,316,7
"Dudley-Charlton Reg","05","e",15,22,58,349,5
"Dudley-Charlton Reg","05","m",35,22,35,348,9
"Dudley-Charlton Reg","05","s",16,34,44,347,6
"Dudley-Charlton Reg","06","e",11,20,64,351,5
"Dudley-Charlton Reg","06","m",28,29,34,350,9
"Dudley-Charlton Reg","07","e",11,11,75,351,3
"Dudley-Charlton Reg","07","m",16,30,38,351,16
"Dudley-Charlton Reg","08","e",12,12,73,388,4
"Dudley-Charlton Reg","08","m",9,38,38,388,14
"Dudley-Charlton Reg","08","s",2,47,38,388,13
"Dudley-Charlton Reg","10","e",34,7,56,276,3
"Dudley-Charlton Reg","10","m",52,12,28,275,7
"Dudley-Charlton Reg","10","s",28,14,54,252,3
"Dudley-Charlton Reg","AL","e",15,18,63,2343,4
"Dudley-Charlton Reg","AL","m",27,27,36,2340,10
"Dudley-Charlton Reg","AL","s",13,34,44,987,8
"Duxbury","03","e",14,28,55,223,2
"Duxbury","03","m",27,20,48,223,4
"Duxbury","04","e",24,23,48,247,5
"Duxbury","04","m",24,29,43,247,4
"Duxbury","05","e",29,16,54,248,0
"Duxbury","05","m",42,17,38,247,2
"Duxbury","05","s",27,27,45,247,1
"Duxbury","06","e",22,8,70,266,1
"Duxbury","06","m",39,16,41,266,3
"Duxbury","07","e",29,3,67,254,2
"Duxbury","07","m",31,23,43,256,4
"Duxbury","08","e",21,7,70,298,1
"Duxbury","08","m",35,21,40,302,4
"Duxbury","08","s",5,29,61,302,4
"Duxbury","10","e",71,1,28,270,0
"Duxbury","10","m",86,2,13,270,0
"Duxbury","10","s",57,4,38,267,0
"Duxbury","AL","e",31,12,56,1806,2
"Duxbury","AL","m",41,18,38,1811,3
"Duxbury","AL","s",29,21,49,816,2
"East Bridgewater","03","e",13,30,48,176,9
"East Bridgewater","03","m",23,25,45,176,7
"East Bridgewater","04","e",18,33,42,190,7
"East Bridgewater","04","m",26,31,36,190,8
"East Bridgewater","05","e",19,23,55,182,2
"East Bridgewater","05","m",32,27,35,182,5
"East Bridgewater","05","s",36,16,45,181,2
"East Bridgewater","06","e",18,19,57,190,5
"East Bridgewater","06","m",34,21,35,190,9
"East Bridgewater","07","e",17,19,60,168,5
"East Bridgewater","07","m",13,36,28,167,23
"East Bridgewater","08","e",15,9,69,200,7
"East Bridgewater","08","m",16,35,39,203,9
"East Bridgewater","08","s",2,47,38,203,12
"East Bridgewater","10","e",55,3,41,140,1
"East Bridgewater","10","m",60,6,32,139,2
"East Bridgewater","10","s",16,20,63,128,1
"East Bridgewater","AL","e",21,20,54,1246,5
"East Bridgewater","AL","m",28,27,36,1247,9
"East Bridgewater","AL","s",18,29,47,512,6
"East Longmeadow","03","e",7,31,51,216,10
"East Longmeadow","03","m",19,32,36,214,13
"East Longmeadow","04","e",14,26,52,184,8
"East Longmeadow","04","m",16,39,39,218,7
"East Longmeadow","05","e",15,24,59,194,2
"East Longmeadow","05","m",41,19,34,154,6
"East Longmeadow","05","s",16,40,39,194,5
"East Longmeadow","06","e",14,19,64,177,3
"East Longmeadow","06","m",25,28,39,228,7
"East Longmeadow","07","e",8,18,71,224,4
"East Longmeadow","07","m",7,36,39,224,18
"East Longmeadow","08","e",15,10,71,226,4
"East Longmeadow","08","m",10,46,31,225,13
"East Longmeadow","08","s",4,46,44,225,7
"East Longmeadow","10","e",43,2,55,230,0
"East Longmeadow","10","m",47,14,36,229,3
"East Longmeadow","10","s",39,13,47,223,0
"East Longmeadow","AL","e",17,18,61,1451,4
"East Longmeadow","AL","m",23,31,37,1492,10
"East Longmeadow","AL","s",20,33,43,642,4
"Eastham","03","e",23,8,65,26,4
"Eastham","03","m",48,4,44,25,4
"Eastham","04","e",15,25,53,40,8
"Eastham","04","m",13,43,35,40,10
"Eastham","05","e",31,10,54,39,5
"Eastham","05","m",41,31,26,39,3
"Eastham","05","s",18,33,49,39,0
"Eastham","AL","e",23,15,56,105,6
"Eastham","AL","m",32,29,34,104,6
"Eastham","AL","s",18,33,49,39,0
"Easthampton","03","e",9,40,42,106,8
"Easthampton","03","m",24,21,51,106,5
"Easthampton","04","e",3,51,29,149,17
"Easthampton","04","m",12,41,36,151,11
"Easthampton","05","e",9,37,42,110,12
"Easthampton","05","m",21,31,28,111,21
"Easthampton","05","s",13,51,25,111,11
"Easthampton","06","e",5,30,51,125,14
"Easthampton","06","m",13,30,34,125,23
"Easthampton","07","e",4,35,54,137,7
"Easthampton","07","m",12,32,24,138,33
"Easthampton","08","e",10,13,71,104,6
"Easthampton","08","m",12,42,20,104,26
"Easthampton","08","s",1,55,28,104,16
"Easthampton","10","e",28,6,65,108,1
"Easthampton","10","m",40,15,38,110,7
"Easthampton","10","s",32,19,48,101,2
"Easthampton","AL","e",9,32,50,839,10
"Easthampton","AL","m",18,31,33,845,18
"Easthampton","AL","s",15,42,33,316,10
"Easton","03","e",9,32,52,293,7
"Easton","03","m",37,20,34,293,9
"Easton","04","e",8,31,55,286,6
"Easton","04","m",21,35,39,286,5
"Easton","05","e",20,21,55,297,4
"Easton","05","m",35,18,41,297,6
"Easton","05","s",22,30,44,297,4
"Easton","06","e",15,15,66,278,4
"Easton","06","m",44,17,33,278,7
"Easton","07","e",9,14,72,335,5
"Easton","07","m",25,25,38,337,12
"Easton","08","e",15,7,76,345,2
"Easton","08","m",22,26,43,348,9
"Easton","08","s",7,34,53,348,6
"Easton","10","e",54,3,42,271,1
"Easton","10","m",63,9,26,270,2
"Easton","10","s",30,25,42,263,2
"Easton","AL","e",18,17,61,2105,4
"Easton","AL","m",34,22,37,2109,7
"Easton","AL","s",19,30,47,908,4
"Edgartown","03","e",8,46,44,39,3
"Edgartown","03","m",21,37,32,38,11
"Edgartown","04","e",13,24,58,38,5
"Edgartown","04","m",3,44,49,39,5
"Edgartown","05","e",29,16,53,38,3
"Edgartown","05","m",23,26,41,39,10
"Edgartown","05","s",18,31,49,39,3
"Edgartown","06","e",24,18,58,45,0
"Edgartown","06","m",29,18,47,45,7
"Edgartown","07","e",27,14,54,37,5
"Edgartown","07","m",22,32,30,37,16
"Edgartown","08","m",22,43,35,37,0
"Edgartown","08","s",14,27,59,37,0
"Edgartown","AL","e",20,23,53,197,3
"Edgartown","AL","m",20,33,39,235,8
"Edgartown","AL","s",16,29,54,76,1
"Edward M. Kennedy Academy for Health Careers (Horace Mann","10","e",13,11,74,82,1
"Edward M. Kennedy Academy for Health Careers (Horace Mann","10","m",14,41,39,83,6
"Edward M. Kennedy Academy for Health Careers (Horace Mann","10","s",0,75,23,77,1
"Edward M. Kennedy Academy for Health Careers (Horace Mann","AL","e",13,11,74,82,1
"Edward M. Kennedy Academy for Health Careers (Horace Mann","AL","m",14,41,39,83,6
"Edward M. Kennedy Academy for Health Careers (Horace Mann","AL","s",0,75,23,77,1
"Erving","03","e",14,36,43,14,7
"Erving","03","m",21,36,29,14,14
"Erving","04","e",10,48,28,29,14
"Erving","04","m",17,43,20,30,20
"Erving","05","e",39,11,44,18,6
"Erving","05","m",33,11,33,18,22
"Erving","05","s",24,35,35,17,6
"Erving","06","e",19,29,43,21,10
"Erving","06","m",33,19,29,21,19
"Erving","AL","e",20,33,38,82,10
"Erving","AL","m",25,29,27,83,19
"Erving","AL","s",24,35,35,17,6
"Essex Agricultural Technical","10","e",41,2,57,123,0
"Essex Agricultural Technical","10","m",57,12,31,122,0
"Essex Agricultural Technical","10","s",45,6,49,123,1
"Essex Agricultural Technical","AL","e",41,2,57,123,0
"Essex Agricultural Technical","AL","m",57,12,31,122,0
"Essex Agricultural Technical","AL","s",45,6,49,123,1
"Everett","03","e",3,44,37,470,17
"Everett","03","m",14,33,40,467,13
"Everett","04","e",9,38,36,467,16
"Everett","04","m",10,45,28,467,17
"Everett","05","e",5,40,42,447,13
"Everett","05","m",14,36,28,446,22
"Everett","05","s",7,47,24,445,22
"Everett","06","e",9,28,52,453,11
"Everett","06","m",19,33,32,454,16
"Everett","07","e",5,28,56,458,12
"Everett","07","m",7,33,18,458,42
"Everett","08","e",7,20,60,452,13
"Everett","08","m",6,31,19,450,44
"Everett","08","s",2,47,17,448,33
"Everett","10","e",19,17,59,446,5
"Everett","10","m",31,26,31,447,12
"Everett","10","s",9,44,39,409,9
"Everett","AL","e",8,31,49,3193,12
"Everett","AL","m",14,34,28,3189,24
"Everett","AL","s",6,46,26,1302,22
"Excel Academy Charter (District)","05","e",25,27,44,55,4
"Excel Academy Charter (District)","05","m",35,24,28,54,13
"Excel Academy Charter (District)","05","s",28,28,41,54,4
"Excel Academy Charter (District)","06","e",30,11,57,56,2
"Excel Academy Charter (District)","06","m",50,14,32,56,4
"Excel Academy Charter (District)","07","e",24,9,65,54,2
"Excel Academy Charter (District)","07","m",30,17,39,54,15
"Excel Academy Charter (District)","08","e",47,0,53,45,0
"Excel Academy Charter (District)","08","m",62,7,31,45,0
"Excel Academy Charter (District)","08","s",4,22,71,45,2
"Excel Academy Charter (District)","AL","e",31,12,55,210,2
"Excel Academy Charter (District)","AL","m",44,16,33,209,8
"Excel Academy Charter (District)","AL","s",17,25,55,99,3
"Excel Academy Charter School - Boston II (District","05","e",16,25,52,56,7
"Excel Academy Charter School - Boston II (District","05","m",29,18,47,55,5
"Excel Academy Charter School - Boston II (District","05","s",18,35,44,55,4
"Excel Academy Charter School - Boston II (District","06","e",24,11,65,55,0
"Excel Academy Charter School - Boston II (District","06","m",56,11,33,55,0
"Excel Academy Charter School - Boston II (District","AL","e",20,18,59,111,4
"Excel Academy Charter School - Boston II (District","AL","m",43,15,40,110,3
"Excel Academy Charter School - Boston II (District","AL","s",18,35,44,55,4
"Excel Academy Charter School - Chelsea (District)","05","e",9,36,45,56,11
"Excel Academy Charter School - Chelsea (District)","05","m",20,43,23,56,14
"Excel Academy Charter School - Chelsea (District)","05","s",13,46,29,56,13
"Excel Academy Charter School - Chelsea (District)","06","e",23,18,54,56,5
"Excel Academy Charter School - Chelsea (District)","06","m",32,25,30,56,13
"Excel Academy Charter School - Chelsea (District)","07","e",20,13,65,55,2
"Excel Academy Charter School - Chelsea (District)","07","m",20,35,31,55,15
"Excel Academy Charter School - Chelsea (District)","AL","e",17,22,54,167,6
"Excel Academy Charter School - Chelsea (District)","AL","m",24,34,28,167,14
"Excel Academy Charter School - Chelsea (District)","AL","s",13,46,29,56,13
"Fairhaven","03","e",10,25,62,158,3
"Fairhaven","03","m",35,15,46,157,4
"Fairhaven","04","e",18,27,51,149,4
"Fairhaven","04","m",19,44,36,149,1
"Fairhaven","05","e",14,36,48,140,3
"Fairhaven","05","m",32,26,34,140,9
"Fairhaven","05","s",13,49,32,140,6
"Fairhaven","06","e",3,30,61,152,6
"Fairhaven","06","m",17,30,41,151,12
"Fairhaven","07","e",6,20,73,131,2
"Fairhaven","07","m",12,37,31,134,19
"Fairhaven","08","e",8,17,70,135,5
"Fairhaven","08","m",13,30,40,135,16
"Fairhaven","08","s",3,48,36,135,13
"Fairhaven","10","e",36,4,60,171,1
"Fairhaven","10","m",62,6,27,173,5
"Fairhaven","10","s",26,26,48,164,1
"Fairhaven","AL","e",14,22,60,1036,3
"Fairhaven","AL","m",28,26,36,1039,9
"Fairhaven","AL","s",15,40,39,439,6
"Fall River","03","e",5,40,34,880,21
"Fall River","03","m",13,30,35,880,22
"Fall River","04","e",7,40,30,863,23
"Fall River","04","m",13,43,23,862,21
"Fall River","05","e",10,35,38,821,17
"Fall River","05","m",18,28,29,825,25
"Fall River","05","s",10,40,28,821,22
"Fall River","06","e",9,34,39,796,19
"Fall River","06","m",19,30,24,795,28
"Fall River","07","e",6,34,45,788,15
"Fall River","07","m",7,30,18,788,45
"Fall River","08","e",6,23,55,798,16
"Fall River","08","m",12,31,25,802,32
"Fall River","08","s",2,42,26,801,30
"Fall River","10","e",23,16,55,602,5
"Fall River","10","m",24,28,31,610,18
"Fall River","10","s",12,43,36,543,9
"Fall River","AL","e",9,32,41,5548,17
"Fall River","AL","m",15,32,27,5562,27
"Fall River","AL","s",7,41,30,2165,22
"Falmouth","03","e",15,26,54,314,4
"Falmouth","03","m",34,20,38,315,7
"Falmouth","04","e",13,34,45,291,8
"Falmouth","04","m",16,45,32,292,7
"Falmouth","05","e",27,19,49,290,5
"Falmouth","05","m",34,21,34,288,10
"Falmouth","05","s",25,29,38,288,8
"Falmouth","06","e",25,20,50,304,4
"Falmouth","06","m",37,19,31,308,14
"Falmouth","07","e",11,19,66,281,5
"Falmouth","07","m",25,22,36,281,17
"Falmouth","08","e",19,9,70,264,3
"Falmouth","08","m",29,24,37,261,10
"Falmouth","08","s",6,39,46,261,10
"Falmouth","10","e",63,3,34,196,1
"Falmouth","10","m",59,10,29,199,2
"Falmouth","10","s",38,15,45,182,2
"Falmouth","AL","e",23,20,53,1940,4
"Falmouth","AL","m",32,24,34,1944,10
"Falmouth","AL","s",21,29,43,731,7
"Farmington River Reg","03","e",8,23,62,13,8
"Farmington River Reg","03","m",31,0,62,13,8
"Farmington River Reg","04","e",13,25,38,16,25
"Farmington River Reg","04","m",19,19,31,16,31
"Farmington River Reg","05","e",11,32,53,19,5
"Farmington River Reg","05","m",21,16,42,19,21
"Farmington River Reg","05","s",16,37,37,19,11
"Farmington River Reg","06","e",29,12,53,17,6
"Farmington River Reg","06","m",41,18,35,17,6
"Farmington River Reg","08","e",NA,NA,NA,1,NA
"Farmington River Reg","08","m",NA,NA,NA,1,NA
"Farmington River Reg","08","s",0,100,0,1,0
"Farmington River Reg","AL","e",15,24,50,66,11
"Farmington River Reg","AL","m",27,14,41,66,18
"Farmington River Reg","AL","s",15,40,35,20,10
"Fitchburg","03","e",9,40,32,443,20
"Fitchburg","03","m",18,29,32,441,20
"Fitchburg","04","e",10,32,35,381,24
"Fitchburg","04","m",14,39,25,380,23
"Fitchburg","05","e",11,34,37,382,18
"Fitchburg","05","m",13,26,29,385,33
"Fitchburg","05","s",8,39,27,383,26
"Fitchburg","06","e",9,27,44,354,20
"Fitchburg","06","m",12,31,32,354,26
"Fitchburg","07","e",3,30,51,363,16
"Fitchburg","07","m",6,36,21,364,37
"Fitchburg","08","e",5,21,61,355,14
"Fitchburg","08","m",6,39,23,357,32
"Fitchburg","08","s",1,53,19,354,27
"Fitchburg","10","e",18,19,57,312,6
"Fitchburg","10","m",32,25,28,324,15
"Fitchburg","10","s",8,42,41,268,9
"Fitchburg","AL","e",9,29,44,2590,17
"Fitchburg","AL","m",14,32,27,2605,27
"Fitchburg","AL","s",5,45,28,1005,22
"Florida","03","e",NA,NA,NA,5,NA
"Florida","03","m",NA,NA,NA,5,NA
"Florida","04","e",0,64,9,11,27
"Florida","04","m",0,45,45,11,9
"Florida","05","e",NA,NA,NA,6,NA
"Florida","05","m",NA,NA,NA,6,NA
"Florida","05","s",0,50,0,6,50
"Florida","06","e",0,40,50,10,10
"Florida","06","m",0,50,30,10,20
"Florida","07","e",9,18,73,11,0
"Florida","07","m",0,45,45,11,9
"Florida","08","e",0,15,77,13,8
"Florida","08","m",8,50,25,12,17
"Florida","08","s",0,46,38,13,15
"Florida","AL","e",2,38,50,56,11
"Florida","AL","m",7,42,38,55,13
"Florida","AL","s",0,47,26,19,26
"Four Rivers Charter Public (District)","07","e",6,9,83,35,3
"Four Rivers Charter Public (District)","07","m",20,26,51,35,3
"Four Rivers Charter Public (District)","08","e",6,3,89,36,3
"Four Rivers Charter Public (District)","08","m",14,31,31,35,23
"Four Rivers Charter Public (District)","08","s",0,43,49,35,9
"Four Rivers Charter Public (District)","10","e",54,0,46,37,0
"Four Rivers Charter Public (District)","10","m",54,24,19,37,3
"Four Rivers Charter Public (District)","10","s",52,10,38,29,0
"Four Rivers Charter Public (District)","AL","e",22,4,72,108,2
"Four Rivers Charter Public (District)","AL","m",30,27,34,107,9
"Four Rivers Charter Public (District)","AL","s",23,28,44,64,5
"Foxborough","03","e",21,30,46,182,3
"Foxborough","03","m",55,10,29,182,5
"Foxborough","04","e",9,35,50,201,5
"Foxborough","04","m",19,33,42,201,5
"Foxborough","05","e",13,27,56,199,4
"Foxborough","05","m",39,14,42,199,5
"Foxborough","05","s",17,42,37,199,4
"Foxborough","06","e",12,19,63,215,6
"Foxborough","06","m",47,15,30,216,8
"Foxborough","07","e",16,14,67,225,3
"Foxborough","07","m",33,20,38,226,8
"Foxborough","08","e",14,7,76,222,4
"Foxborough","08","m",38,15,42,220,5
"Foxborough","08","s",4,41,46,220,8
"Foxborough","10","e",47,1,49,223,2
"Foxborough","10","m",61,9,26,223,4
"Foxborough","10","s",43,17,37,213,3
"Foxborough","AL","e",19,18,59,1467,4
"Foxborough","AL","m",42,17,36,1467,6
"Foxborough","AL","s",21,33,40,632,5
"Foxborough Regional Charter (District)","03","e",14,26,58,108,2
"Foxborough Regional Charter (District)","03","m",18,26,49,109,7
"Foxborough Regional Charter (District)","04","e",18,19,62,111,1
"Foxborough Regional Charter (District)","04","m",23,37,39,111,2
"Foxborough Regional Charter (District)","05","e",25,25,47,110,3
"Foxborough Regional Charter (District)","05","m",27,30,38,112,4
"Foxborough Regional Charter (District)","05","s",34,24,39,112,3
"Foxborough Regional Charter (District)","06","e",15,25,56,110,5
"Foxborough Regional Charter (District)","06","m",21,30,42,111,7
"Foxborough Regional Charter (District)","07","e",9,23,64,108,4
"Foxborough Regional Charter (District)","07","m",12,39,33,109,17
"Foxborough Regional Charter (District)","08","e",6,18,76,111,0
"Foxborough Regional Charter (District)","08","m",7,39,39,111,15
"Foxborough Regional Charter (District)","08","s",7,50,31,111,12
"Foxborough Regional Charter (District)","10","e",34,0,66,68,0
"Foxborough Regional Charter (District)","10","m",47,9,43,68,1
"Foxborough Regional Charter (District)","10","s",10,19,71,69,0
"Foxborough Regional Charter (District)","AL","e",16,21,61,726,2
"Foxborough Regional Charter (District)","AL","m",21,31,40,731,8
"Foxborough Regional Charter (District)","AL","s",18,33,43,292,5
"Framingham","03","e",10,36,39,705,16
"Framingham","03","m",22,24,37,701,17
"Framingham","04","e",12,33,34,664,21
"Framingham","04","m",16,41,27,662,16
"Framingham","05","e",14,31,42,644,14
"Framingham","05","m",21,28,26,644,25
"Framingham","05","s",14,37,28,644,20
"Framingham","06","e",12,27,48,547,13
"Framingham","06","m",25,30,29,543,16
"Framingham","07","e",7,25,61,550,7
"Framingham","07","m",15,30,27,550,28
"Framingham","08","e",10,16,64,558,10
"Framingham","08","m",13,27,35,556,25
"Framingham","08","s",1,42,34,555,23
"Framingham","10","e",46,5,48,481,2
"Framingham","10","m",66,10,18,486,6
"Framingham","10","s",45,12,40,442,3
"Framingham","AL","e",15,26,47,4149,12
"Framingham","AL","m",24,28,29,4142,19
"Framingham","AL","s",18,32,33,1641,17
"Francis W. Parker Charter Essential (District)","07","e",9,18,74,68,0
"Francis W. Parker Charter Essential (District)","07","m",12,30,54,67,4
"Francis W. Parker Charter Essential (District)","08","e",17,9,74,70,0
"Francis W. Parker Charter Essential (District)","08","m",12,36,41,69,12
"Francis W. Parker Charter Essential (District)","08","s",3,41,45,69,12
"Francis W. Parker Charter Essential (District)","10","e",65,3,32,60,0
"Francis W. Parker Charter Essential (District)","10","m",51,10,30,61,10
"Francis W. Parker Charter Essential (District)","10","s",31,19,47,59,3
"Francis W. Parker Charter Essential (District)","AL","e",29,10,61,198,0
"Francis W. Parker Charter Essential (District)","AL","m",24,26,42,197,9
"Francis W. Parker Charter Essential (District)","AL","s",16,30,46,128,8
"Franklin","03","e",20,24,52,442,4
"Franklin","03","m",42,14,41,391,3
"Franklin","04","e",26,22,46,422,6
"Franklin","04","m",34,24,36,466,5
"Franklin","05","e",28,17,50,465,5
"Franklin","05","m",41,18,33,464,7
"Franklin","05","s",27,29,39,463,6
"Franklin","06","e",25,14,58,384,3
"Franklin","06","m",42,19,33,474,5
"Franklin","07","e",14,12,71,464,3
"Franklin","07","m",25,24,40,434,11
"Franklin","08","e",20,8,68,465,3
"Franklin","08","m",31,21,39,509,9
"Franklin","08","s",7,31,56,508,6
"Franklin","10","e",61,1,36,419,2
"Franklin","10","m",77,2,18,418,3
"Franklin","10","s",54,5,40,398,1
"Franklin","AL","e",27,14,55,3061,4
"Franklin","AL","m",41,18,35,3156,6
"Franklin","AL","s",27,23,46,1369,4
"Franklin County Regional Vocational Technical","10","e",12,11,74,140,2
"Franklin County Regional Vocational Technical","10","m",28,24,42,137,6
"Franklin County Regional Vocational Technical","10","s",11,32,53,122,4
"Franklin County Regional Vocational Technical","AL","e",12,11,74,140,2
"Franklin County Regional Vocational Technical","AL","m",28,24,42,137,6
"Franklin County Regional Vocational Technical","AL","s",11,32,53,122,4
"Freetown-Lakeville","03","e",8,32,51,231,9
"Freetown-Lakeville","03","m",24,32,33,230,11
"Freetown-Lakeville","04","e",8,43,38,223,10
"Freetown-Lakeville","04","m",16,45,32,222,7
"Freetown-Lakeville","05","e",20,23,51,243,6
"Freetown-Lakeville","05","m",43,14,36,244,7
"Freetown-Lakeville","05","s",31,23,41,244,4
"Freetown-Lakeville","06","e",29,16,51,259,5
"Freetown-Lakeville","06","m",21,24,43,258,12
"Freetown-Lakeville","07","e",11,17,68,259,3
"Freetown-Lakeville","07","m",16,31,40,257,13
"Freetown-Lakeville","08","e",16,7,73,273,4
"Freetown-Lakeville","08","m",24,22,45,271,9
"Freetown-Lakeville","08","s",5,42,48,271,6
"Freetown-Lakeville","10","e",45,5,47,207,2
"Freetown-Lakeville","10","m",55,11,28,208,6
"Freetown-Lakeville","10","s",32,22,43,192,3
"Freetown-Lakeville","AL","e",19,20,55,1695,6
"Freetown-Lakeville","AL","m",28,26,37,1690,9
"Freetown-Lakeville","AL","s",21,30,44,707,4
"Frontier","07","e",2,31,61,113,6
"Frontier","07","m",11,31,35,113,23
"Frontier","08","e",12,16,67,106,5
"Frontier","08","m",7,39,26,107,28
"Frontier","08","s",1,59,30,107,10
"Frontier","10","e",38,4,54,104,4
"Frontier","10","m",46,9,38,104,7
"Frontier","10","s",35,11,49,98,5
"Frontier","AL","e",17,17,61,323,5
"Frontier","AL","m",21,27,33,324,19
"Frontier","AL","s",17,36,39,205,8
"Gardner","03","e",8,40,40,181,12
"Gardner","03","m",7,30,40,181,23
"Gardner","04","e",6,41,27,193,26
"Gardner","04","m",10,47,22,196,21
"Gardner","05","e",10,30,47,175,13
"Gardner","05","m",14,32,32,176,21
"Gardner","05","s",7,43,36,176,14
"Gardner","06","e",7,35,42,199,16
"Gardner","06","m",13,34,30,199,24
"Gardner","07","e",5,34,48,183,14
"Gardner","07","m",6,29,24,184,40
"Gardner","08","e",5,26,57,188,13
"Gardner","08","m",3,37,24,188,36
"Gardner","08","s",1,46,30,189,23
"Gardner","10","e",14,14,69,159,3
"Gardner","10","m",28,29,31,163,12
"Gardner","10","s",8,42,45,145,6
"Gardner","AL","e",8,32,47,1278,14
"Gardner","AL","m",11,34,29,1287,25
"Gardner","AL","s",5,44,36,510,15
"Gateway","03","e",3,33,56,72,8
"Gateway","03","m",29,23,45,73,3
"Gateway","04","e",4,51,36,72,8
"Gateway","04","m",6,54,35,72,6
"Gateway","05","e",2,39,53,83,6
"Gateway","05","m",25,20,39,83,16
"Gateway","05","s",14,34,43,83,8
"Gateway","06","e",9,25,55,85,11
"Gateway","06","m",25,26,29,85,20
"Gateway","07","e",1,39,52,83,8
"Gateway","07","m",8,31,25,83,35
"Gateway","08","e",10,28,54,71,8
"Gateway","08","m",11,42,22,72,25
"Gateway","08","s",3,49,25,71,23
"Gateway","10","e",43,7,46,61,5
"Gateway","10","m",42,15,35,60,8
"Gateway","10","s",21,19,54,57,5
"Gateway","AL","e",9,32,50,527,8
"Gateway","AL","m",20,30,33,528,17
"Gateway","AL","s",12,35,40,211,12
"Georgetown","03","e",5,29,59,110,6
"Georgetown","03","m",30,13,51,110,6
"Georgetown","04","e",16,34,38,112,12
"Georgetown","04","m",29,28,32,112,11
"Georgetown","05","e",22,24,50,117,4
"Georgetown","05","m",45,15,35,117,5
"Georgetown","05","s",21,37,38,116,4
"Georgetown","06","e",13,20,61,127,6
"Georgetown","06","m",24,28,32,127,16
"Georgetown","07","e",9,12,77,110,2
"Georgetown","07","m",22,21,45,110,12
"Georgetown","08","e",14,13,71,149,1
"Georgetown","08","m",15,38,34,149,13
"Georgetown","08","s",2,50,38,149,11
"Georgetown","10","e",59,2,35,102,4
"Georgetown","10","m",67,9,18,101,6
"Georgetown","10","s",32,10,54,90,3
"Georgetown","AL","e",19,19,57,827,5
"Georgetown","AL","m",32,23,35,826,10
"Georgetown","AL","s",16,35,42,355,7
"Gill-Montague","03","e",5,48,39,93,8
"Gill-Montague","03","m",22,29,32,94,17
"Gill-Montague","04","e",2,60,25,83,12
"Gill-Montague","04","m",9,45,23,82,23
"Gill-Montague","05","e",8,18,63,40,13
"Gill-Montague","05","m",31,19,31,72,19
"Gill-Montague","05","s",13,39,36,72,13
"Gill-Montague","06","e",20,26,39,46,15
"Gill-Montague","06","m",14,42,30,81,15
"Gill-Montague","07","e",6,23,63,70,9
"Gill-Montague","07","m",13,32,45,38,11
"Gill-Montague","08","e",6,17,69,81,7
"Gill-Montague","08","m",15,27,42,81,16
"Gill-Montague","08","s",2,54,33,81,10
"Gill-Montague","10","e",15,9,73,55,4
"Gill-Montague","10","m",39,19,33,54,9
"Gill-Montague","10","s",15,35,38,48,13
"Gill-Montague","AL","e",8,32,51,468,9
"Gill-Montague","AL","m",20,31,33,502,17
"Gill-Montague","AL","s",9,44,35,201,11
"Global Learning Charter Public  (District)","05","e",5,37,47,91,10
"Global Learning Charter Public  (District)","05","m",19,41,30,91,11
"Global Learning Charter Public  (District)","05","s",16,40,37,90,8
"Global Learning Charter Public  (District)","06","e",10,31,54,93,5
"Global Learning Charter Public  (District)","06","m",19,38,31,93,12
"Global Learning Charter Public  (District)","07","e",1,24,74,85,1
"Global Learning Charter Public  (District)","07","m",6,39,31,85,25
"Global Learning Charter Public  (District)","08","e",2,27,69,86,2
"Global Learning Charter Public  (District)","08","m",6,48,35,86,12
"Global Learning Charter Public  (District)","08","s",0,52,17,86,30
"Global Learning Charter Public  (District)","10","e",39,11,50,28,0
"Global Learning Charter Public  (District)","10","m",43,21,36,28,0
"Global Learning Charter Public  (District)","10","s",4,57,36,28,4
"Global Learning Charter Public  (District)","AL","e",7,28,60,383,4
"Global Learning Charter Public  (District)","AL","m",15,40,32,383,14
"Global Learning Charter Public  (District)","AL","s",7,48,28,204,17
"Gloucester","03","e",14,38,40,236,8
"Gloucester","03","m",24,29,37,237,10
"Gloucester","04","e",8,42,37,252,13
"Gloucester","04","m",13,49,28,254,10
"Gloucester","05","e",20,25,48,210,7
"Gloucester","05","m",30,30,30,210,11
"Gloucester","05","s",18,34,39,210,10
"Gloucester","06","e",10,28,48,206,14
"Gloucester","06","m",22,33,28,208,17
"Gloucester","07","e",10,30,52,238,8
"Gloucester","07","m",12,31,30,240,27
"Gloucester","08","e",9,15,67,236,9
"Gloucester","08","m",18,32,35,238,15
"Gloucester","08","s",1,50,26,238,22
"Gloucester","10","e",34,7,57,217,2
"Gloucester","10","m",47,21,26,219,5
"Gloucester","10","s",25,22,51,208,2
"Gloucester","AL","e",15,27,50,1595,9
"Gloucester","AL","m",23,32,31,1606,14
"Gloucester","AL","s",14,36,38,656,12
"Gosnold","03","e",NA,NA,NA,1,NA
"Gosnold","03","m",NA,NA,NA,1,NA
"Gosnold","04","e",NA,NA,NA,1,NA
"Gosnold","04","m",NA,NA,NA,1,NA
"Gosnold","AL","e",NA,NA,NA,2,NA
"Gosnold","AL","m",NA,NA,NA,2,NA
"Grafton","03","e",19,26,50,255,5
