"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Adams-Cheshire","05","e",2,49,35,106,14
"Adams-Cheshire","05","m",11,35,29,106,25
"Adams-Cheshire","05","s",3,52,20,106,25
"Adams-Cheshire","06","e",7,37,48,111,8
"Adams-Cheshire","06","m",6,51,15,111,27
"Adams-Cheshire","07","e",3,36,53,113,8
"Adams-Cheshire","07","m",4,27,24,113,44
"Adams-Cheshire","08","e",3,29,66,106,2
"Adams-Cheshire","08","m",4,49,30,106,17
"Adams-Cheshire","08","s",1,58,21,106,21
"Adams-Cheshire","10","e",29,6,63,65,2
"Adams-Cheshire","10","m",38,20,29,65,12
"Adams-Cheshire","10","s",18,40,38,60,3
"Adams-Cheshire","AL","e",6,38,46,715,10
"Adams-Cheshire","AL","m",10,41,26,682,23
"Adams-Cheshire","AL","s",6,51,24,272,19
"Advanced Math and Science Academy Charter (District)","06","e",29,11,59,151,1
"Advanced Math and Science Academy Charter (District)","06","m",67,12,17,150,4
"Advanced Math and Science Academy Charter (District)","07","e",23,4,73,147,0
"Advanced Math and Science Academy Charter (District)","07","m",48,13,34,148,5
"Advanced Math and Science Academy Charter (District)","08","e",29,4,67,128,0
"Advanced Math and Science Academy Charter (District)","08","m",40,17,41,128,2
"Advanced Math and Science Academy Charter (District)","08","s",15,24,61,128,0
"Advanced Math and Science Academy Charter (District)","10","e",83,0,17,191,0
"Advanced Math and Science Academy Charter (District)","10","m",96,1,3,192,0
"Advanced Math and Science Academy Charter (District)","10","s",74,3,23,192,0
"Advanced Math and Science Academy Charter (District)","AL","e",44,5,51,617,0
"Advanced Math and Science Academy Charter (District)","AL","m",66,10,22,618,3
"Advanced Math and Science Academy Charter (District)","AL","s",51,11,38,320,0
"Agawam","03","e",10,30,54,308,6
"Agawam","03","m",28,20,48,307,5
"Agawam","04","e",12,35,43,263,10
"Agawam","04","m",18,39,35,263,8
"Agawam","05","e",10,31,46,314,13
"Agawam","05","m",29,24,32,315,15
"Agawam","05","s",18,35,36,314,11
"Agawam","06","e",12,22,60,295,7
"Agawam","06","m",29,27,36,294,9
"Agawam","07","e",3,28,59,326,10
"Agawam","07","m",9,30,40,327,20
"Agawam","08","e",9,15,70,307,6
"Agawam","08","m",11,37,41,309,12
"Agawam","08","s",2,52,32,307,15
"Agawam","10","e",34,8,56,342,1
"Agawam","10","m",52,14,30,343,4
"Agawam","10","s",22,34,41,321,2
"Agawam","AL","e",13,24,56,2155,7
"Agawam","AL","m",25,27,37,2158,10
"Agawam","AL","s",14,40,36,942,9
"Alma del Mar Charter School (District)","03","e",23,28,46,39,3
"Alma del Mar Charter School (District)","03","m",28,18,54,39,0
"Alma del Mar Charter School (District)","04","e",3,53,40,40,5
"Alma del Mar Charter School (District)","04","m",13,48,35,40,5
"Alma del Mar Charter School (District)","AL","e",13,41,43,79,4
"Alma del Mar Charter School (District)","AL","m",20,33,44,79,3
"Amesbury","03","e",14,29,51,170,6
"Amesbury","03","m",30,24,38,167,8
"Amesbury","04","e",18,29,46,181,7
"Amesbury","04","m",24,34,36,179,6
"Amesbury","05","e",17,27,47,180,9
"Amesbury","05","m",32,24,26,180,17
"Amesbury","05","s",18,24,48,180,10
"Amesbury","06","e",22,18,56,194,5
"Amesbury","06","m",21,28,32,193,19
"Amesbury","07","e",10,20,61,187,9
"Amesbury","07","m",16,28,39,185,17
"Amesbury","08","e",8,17,69,173,6
"Amesbury","08","m",22,25,35,173,17
"Amesbury","08","s",3,34,52,173,10
"Amesbury","10","e",56,6,37,174,0
"Amesbury","10","m",60,18,20,175,2
"Amesbury","10","s",39,18,41,168,2
"Amesbury","AL","e",20,21,53,1259,6
"Amesbury","AL","m",29,26,32,1252,13
"Amesbury","AL","s",20,26,47,521,7
"Amesbury Academy Charter Public (District)","10","e",NA,NA,NA,8,NA
"Amesbury Academy Charter Public (District)","10","m",NA,NA,NA,8,NA
"Amesbury Academy Charter Public (District)","10","s",0,33,67,3,0
"Amesbury Academy Charter Public (District)","AL","e",NA,NA,NA,8,NA
"Amesbury Academy Charter Public (District)","AL","m",NA,NA,NA,8,NA
"Amesbury Academy Charter Public (District)","AL","s",0,33,67,3,0
"Amherst","03","e",14,32,44,136,10
"Amherst","03","m",25,21,39,97,15
"Amherst","04","e",13,29,45,164,14
"Amherst","04","m",23,36,32,168,9
"Amherst","05","e",33,20,38,183,9
"Amherst","05","m",42,18,26,132,14
"Amherst","05","s",27,28,31,183,14
"Amherst","06","e",28,12,50,171,9
"Amherst","06","m",44,12,32,167,13
"Amherst","AL","e",23,22,44,654,11
"Amherst","AL","m",34,22,32,564,12
"Amherst","AL","s",27,28,31,183,14
"Amherst-Pelham","07","e",14,21,61,236,5
"Amherst-Pelham","07","m",23,22,37,234,18
"Amherst-Pelham","08","e",20,10,66,226,4
"Amherst-Pelham","08","m",33,17,37,225,13
"Amherst-Pelham","08","s",10,25,56,223,9
"Amherst-Pelham","10","e",55,4,39,244,2
"Amherst-Pelham","10","m",69,9,17,244,5
"Amherst-Pelham","10","s",55,7,35,223,3
"Amherst-Pelham","AL","e",30,11,55,706,4
"Amherst-Pelham","AL","m",42,16,30,703,12
"Amherst-Pelham","AL","s",32,16,46,446,6
"Andover","03","e",21,22,54,523,3
"Andover","03","m",45,14,37,519,4
"Andover","04","e",19,25,52,480,4
"Andover","04","m",34,26,35,398,5
"Andover","05","e",33,13,51,491,3
"Andover","05","m",54,12,30,486,5
